Entity;Code;Year;homicides_per_mio.people
England;n/a;1300;230
England;n/a;1550;70
England;n/a;1625;60
England;n/a;1675;40
England;n/a;1725;20
England;n/a;1775;10
England;n/a;1812;20
England;n/a;1837;17
England;n/a;1862;16
England;n/a;1887;8
England;n/a;1912;8
England;n/a;1937;8
England;n/a;1962;7
England;n/a;1984;12
England;n/a;1990;9
England;n/a;1991;9
England;n/a;1992;9
England;n/a;1993;9
England;n/a;1994;9
England;n/a;1995;8
England;n/a;1996;8
England;n/a;1997;7
England;n/a;1998;7
England;n/a;1999;7
England;n/a;2000;7
England;n/a;2001;7
England;n/a;2002;7
England;n/a;2003;7
England;n/a;2004;7
England;n/a;2005;7
England;n/a;2006;7
England;n/a;2007;6
England;n/a;2008;6
England;n/a;2009;6
England;n/a;2010;6
England;n/a;2011;6
England;n/a;2012;6
England;n/a;2013;5
England;n/a;2014;5
England;n/a;2015;5
England;n/a;2016;5
Germany and Switzerland;n/a;1300;370
Germany and Switzerland;n/a;1450;160
Germany and Switzerland;n/a;1550;110
Germany and Switzerland;n/a;1625;110
Germany and Switzerland;n/a;1675;30
Germany and Switzerland;n/a;1725;70
Germany and Switzerland;n/a;1775;80
Germany and Switzerland;n/a;1812;30
Germany and Switzerland;n/a;1837;40
Germany and Switzerland;n/a;1862;20
Germany and Switzerland;n/a;1887;22
Germany and Switzerland;n/a;1912;20
Germany and Switzerland;n/a;1937;14
Germany and Switzerland;n/a;1962;9
Germany and Switzerland;n/a;1984;12
Germany and Switzerland;n/a;1990;15
Germany and Switzerland;n/a;1991;15
Germany and Switzerland;n/a;1992;15
Germany and Switzerland;n/a;1993;15
Germany and Switzerland;n/a;1994;15
Germany and Switzerland;n/a;1995;14
Germany and Switzerland;n/a;1996;14
Germany and Switzerland;n/a;1997;13
Germany and Switzerland;n/a;1998;13
Germany and Switzerland;n/a;1999;13
Germany and Switzerland;n/a;2000;12
Germany and Switzerland;n/a;2001;12
Germany and Switzerland;n/a;2002;12
Germany and Switzerland;n/a;2003;11
Germany and Switzerland;n/a;2004;11
Germany and Switzerland;n/a;2005;10
Germany and Switzerland;n/a;2006;10
Germany and Switzerland;n/a;2007;10
Germany and Switzerland;n/a;2008;9
Germany and Switzerland;n/a;2009;9
Germany and Switzerland;n/a;2010;9
Germany and Switzerland;n/a;2011;9
Germany and Switzerland;n/a;2012;8
Germany and Switzerland;n/a;2013;8
Germany and Switzerland;n/a;2014;8
Germany and Switzerland;n/a;2015;8
Germany and Switzerland;n/a;2016;8
Italy;ITA;1300;560
Italy;ITA;1450;730
Italy;ITA;1550;470
Italy;ITA;1625;320
Italy;ITA;1725;120
Italy;ITA;1775;90
Italy;ITA;1812;180
Italy;ITA;1837;150
Italy;ITA;1862;120
Italy;ITA;1887;55
Italy;ITA;1912;39
Italy;ITA;1937;26
Italy;ITA;1962;13
Italy;ITA;1984;17
Italy;ITA;1990;19
Italy;ITA;1991;19
Italy;ITA;1992;18
Italy;ITA;1993;17
Italy;ITA;1994;16
Italy;ITA;1995;16
Italy;ITA;1996;15
Italy;ITA;1997;14
Italy;ITA;1998;14
Italy;ITA;1999;13
Italy;ITA;2000;13
Italy;ITA;2001;12
Italy;ITA;2002;12
Italy;ITA;2003;11
Italy;ITA;2004;11
Italy;ITA;2005;11
Italy;ITA;2006;10
Italy;ITA;2007;10
Italy;ITA;2008;10
Italy;ITA;2009;10
Italy;ITA;2010;9
Italy;ITA;2011;9
Italy;ITA;2012;9
Italy;ITA;2013;9
Italy;ITA;2014;9
Italy;ITA;2015;9
Italy;ITA;2016;9
Netherlands and Belgium;n/a;1300;470
Netherlands and Belgium;n/a;1450;450
Netherlands and Belgium;n/a;1550;250
Netherlands and Belgium;n/a;1625;60
Netherlands and Belgium;n/a;1675;90
Netherlands and Belgium;n/a;1725;70
Netherlands and Belgium;n/a;1775;40
Netherlands and Belgium;n/a;1812;20
Netherlands and Belgium;n/a;1862;9
Netherlands and Belgium;n/a;1887;15
Netherlands and Belgium;n/a;1912;17
Netherlands and Belgium;n/a;1937;13
Netherlands and Belgium;n/a;1962;6
Netherlands and Belgium;n/a;1984;12
Netherlands and Belgium;n/a;1990;17
Netherlands and Belgium;n/a;1991;17
Netherlands and Belgium;n/a;1992;17
Netherlands and Belgium;n/a;1993;18
Netherlands and Belgium;n/a;1994;18
